Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.489998,29.020000,3.770000,8.460000,82.739998
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.080000,3.580000,6.810000,0.770000,40.240002
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.850000,12.880000,3.790000,3.310000,35.820000
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.750000,11.010000,3.280000,2.960000,33.000000
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.270000,8.890000,10.220000,1.000000,31.370001
6,Tetris,GB,1989,Puzzle,Nintendo,23.200001,2.260000,4.220000,0.580000,30.260000
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.380000,9.230000,6.500000,2.900000,30.010000
8,Wii Play,Wii,2006,Misc,Nintendo,14.030000,9.200000,2.930000,2.850000,29.020000
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.590000,7.060000,4.700000,2.260000,28.620001
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.930000,0.629999,0.280000,0.470000,28.309999
11,Nintendogs,DS,2005,Simulation,Nintendo,9.070000,11.000000,1.930000,2.750000,24.760000
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.810000,7.570000,4.130000,1.909999,23.420000
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.000000,6.180000,7.200000,0.710000,23.100000
14,Wii Fit,Wii,2007,Sports,Nintendo,8.940001,8.030000,3.600000,2.150000,22.719999
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.090000,8.590000,2.530000,1.790000,22.000000
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.970000,4.940000,0.240000,1.670000,21.820000
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.010000,9.270000,0.979999,4.140000,21.400000
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.430000,0.400000,0.410000,10.570000,20.809999
19,Super Mario World,SNES,1990,Platform,Nintendo,12.780000,3.750000,3.540000,0.540001,20.610001
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.750000,9.260000,4.160000,2.050000,20.219999
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.420000,4.520000,6.040000,1.370000,18.360001
22,Super Mario Land,GB,1989,Platform,Nintendo,10.830000,2.710000,4.180000,0.420000,18.139999
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.540000,3.440001,3.840000,0.460000,17.280001
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.630000,5.310000,0.059999,1.380000,16.379999
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.410000,5.490000,0.470000,1.780000,16.150000
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.060000,3.900000,5.380000,0.510001,15.850000
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.570000,3.280000,5.650000,0.820000,15.320000
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.440000,5.360000,5.320000,1.180000,15.300000
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.850000,5.090000,1.870000,1.160000,14.980000
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.030000,4.280000,0.130000,1.320000,14.760000
31,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.890000,5.040000,3.120000,0.590000,14.640000
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.670000,3.730000,0.110000,1.130000,14.640000
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.170000,4.050000,4.340000,0.790000,14.350000
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.770000,5.810000,0.350000,2.310000,14.240000
